,PPG,color,color_unit,generic,grain_index,maltster,name
517,33,50,°L,True,528,Any,CaraMunich (BE)
518,34,1,°L,False,529,Any,Rahr Unmalted Wheat
519,22,625,°L,False,530,Any,British Roast Barley 625 L
520,34,350,°L,False,531,Any,Wild Rice
521,33,12,°L,False,532,Any,British Dextrin (Cara-Pils)
522,36,55,°L,False,533,Bairds,Amber Malt
523,29,420,°L,True,534,Any,Dark Chocolate (US)
524,34,473,°L,False,535,Boortmalt,Roasted Barley
525,38,6,°L,True,536,Rahr,Red Wheat (US)
526,46,0,°L,True,537,Any,Sucrose (Table Sugar)
527,37,25,°L,False,538,Any,Melanoidin (DE)
528,29,500,°L,False,539,Any,Chocolate (US)
529,32,27,°L,False,540,Any,Amber (UK)
530,37,3,°L,True,541,Great Western,Pale Ale (US)
531,35,20,°L,False,542,Briess,Caramel/Crystal 20L (US)
532,33,1,°L,False,543,Briess,Carapils (Dextrine Malt) (US)
533,36,20,°L,False,544,Any,Toasted Raw Wheat
534,36,3,°L,False,545,Weyermann®,Vienna Malt
535,37,1,°L,True,546,Dingemans,Pilsner (US)
536,35,7,°L,True,547,Weyermann®,Munich (UK)
537,32,80,°L,False,548,Any,Dark Caramel Munich
538,33,105,°L,False,549,Any,"English Crystal, 95-115 L"
539,34,5,°L,False,550,Any,English Medium Crystal
540,35,120,°L,False,551,Any,Crisp Crystal Malt 120L
541,34,5,°L,False,552,Any,Gleneagles Marris Otter
542,34,5,°L,False,553,Any,Jaggery
543,35,114,°L,False,554,Any,Castle Special B
544,34,1,°L,False,555,Any,Great Western Superior Pilsen
545,37,4,°L,False,556,Any,Vienna (DE)
546,38,1,°L,False,557,Any,Bohemian Pilsner (DE)
547,35,10,°L,False,558,Any,Caramel/Crystal 10L (US)
548,34,55,°L,False,559,Any,CaraBrown
549,37,9,°L,False,560,Any,Biscuit Malt (Pale)
550,34,13,°L,False,561,Any,Cara Belge
551,25,5,°L,False,562,Any,"Wheat, Unmalted (Wheat Berries)"
552,38,275,°L,True,563,Any,Belgian Candi Sugar - Dark
553,34,5,°L,False,564,Any,Malteurop Pilsen Malt
554,34,5,°L,False,565,Any,Belgian Chocolate Malt
555,25,425,°L,False,566,Any,"Wheat, Roasted"
556,37,3,°L,False,567,Any,Great Western Northwest Pale Ale Malt
557,34,550,°L,False,568,Any,Roasted Barley
558,34,8,°L,False,569,Any,Dingeman Cara 8
559,32,1,°L,True,570,Any,Flaked Rice
560,37,7,°L,False,571,Boortmalt,Aromatic Munich Malt
561,37,5,°L,False,572,Gambrinus,Vienna Malt
562,36,1,°L,False,573,Any,"Barley, Torrefied"
563,33,2,°L,True,574,Any,Rolled Oats
564,37,1,°L,True,575,Weyermann®,Bohemian Pilsner (DE)
565,32,120,°L,True,576,Great Western,Crystal 120L (CA)
566,34,55,°L,False,577,Bairds,Crystal 55
567,39,6,°L,False,578,Weyermann®,Wheat Malt (Dark)
568,37,3,°L,False,579,Any,Bairds Pale Malt
569,33,500,°L,True,580,Briess,Black Malt (US)
570,24,200,°L,False,581,Any,Light Chocolate Matl
571,34,20,°L,False,582,Any,Castle aromatic malt
572,27,432,°L,False,583,Any,Black Patent
573,34,5,°L,False,584,Any,Raw Sugar
574,34,10,°L,False,585,Any,"Raisans, Plain"
575,32,90,°L,False,586,Any,Candi Syrup D-90
576,34,120,°L,False,587,Any,Fawcett Dark Crystal Malt II
577,37,2,°L,False,588,Any,Castle Peated (Smoked)
578,34,510,°L,False,589,Any,Castle Black Malt
579,34,50,°L,False,590,Any,Castle Cara Gold (Cara 120)
580,34,66,°L,False,591,Any,CaraRye
581,34,75,°L,False,592,Bairds,Crystal 75
582,36,320,°L,False,593,Any,Weyerman De-husked Carafa I
583,34,5,°L,False,594,Any,Panela
584,34,23,°L,False,595,Any,CaraAmber (DE)
585,34,3,°L,False,596,Any,Mild Ale (2 Row Barley Malt)
586,36,1,°L,True,597,Thomas Fawcett & Sons,Lager (UK)
587,32,0,°L,False,598,Any,"Belgian Candi Syrup, Clear"
588,34,6,°L,True,599,Bairds,Munich (UK)
589,34,34,°L,False,600,Any,English Crystal 30-37 L
590,38,7,°L,False,601,Any,Munich Malt
591,34,25,°L,False,602,Any,Victory Malt
592,33,207,°L,False,603,Any,Pale Chocolate (UK)
593,37,1,°L,True,604,Any,Pale 2-Row (US)
594,32,130,°L,False,605,Briess,Extra Special Malt
595,25,100,°L,False,606,Any,Franco Belges Kiln Coffee
596,35,1,°L,False,607,Any,6-Row (US)
597,28,2,°L,False,608,Any,Oat Malt (UK)
598,36,56,°L,False,609,Castle,Château Crystal®
599,39,5,°L,False,610,Any,Trader Joe's Organic Blue Agave Nectar
600,36,2,°L,False,611,Any,Franco Belges Pale Malt
601,35,15,°L,False,612,Any,Crisp Crystal 15L
602,35,3,°L,False,613,Any,Cargill White Wheat
603,34,27,°L,False,614,Any,Aromatic
604,33,10,°L,False,615,Any,Organic Munich
605,34,60,°L,False,616,Any,Breiss Organic Crystal 60L
606,46,12,°L,False,617,Any,Invert No. 1
607,37,5,°L,False,618,Any,"Rice, Brown"
608,35,2,°L,False,619,Briess,Torrified Wheat
609,42,2,°L,True,620,Any,Honey 
610,35,10,°L,True,621,Any,Caramel/Crystal 10L (US)
611,34,28,°L,True,622,Any,Victory (US)
612,37,12,°L,False,623,GlobalMalt,Dark Munich Malt
613,27,2,°L,True,624,Weyermann®,Acidulated Malt (DE)
614,34,225,°L,False,625,Any,Crisp Pale Chocolate Malt
615,46,40,°L,False,626,Any,Invert No. 2
616,34,6,°L,False,627,Any,Munich
617,41,1,°L,False,630,Any,Lactose (Milk Sugar)
618,33,80,°L,False,631,Any,Caramel/Crystal 80L (US)
619,27,550,°L,False,632,Any,Black Malt
620,37,1,°L,False,633,Great Western,2-Row (US)
621,33,10,°L,False,634,Weyermann®,Munich - Light 10L (US)
622,37,1,°L,False,635,Boortmalt,Lager/Pilsen Malt
623,33,26,°L,False,636,Weyermann®,CARAAMBER®
624,34,85,°L,False,637,Any,dark crystal 1 (thomas fawcett)
625,36,57,°L,False,638,Any,Castle Crystal (Cara 150)
626,38,3,°L,False,639,Any,"Pale Malt, Golden Promise ()"
627,34,550,°L,False,640,Any,Debittered Black malt
628,39,1,°L,True,641,Weyermann®,Pale Wheat (DE)
629,34,145,°L,False,642,Any,English Crystal 145L
630,36,1,°L,True,643,Simpson's,Wheat (UK)
631,34,23,°L,False,644,Any,Castle Belgian biscuit malt
632,34,40,°L,True,645,Any,Caramel/Crystal 40L (US)
633,33,80,°L,True,646,Any,Caramel/Crystal 80L (US)
634,33,300,°L,True,647,Any,Roasted Barley (US)
635,30,3,°L,False,648,Any,MarrisOtterCaraPils
636,37,1,°L,False,649,Briess,Pilsner (BE)
637,35,1,°L,False,650,Dingemans,6-Row (US)
638,37,3,°L,False,651,Bairds,Bairds Pale Malt
639,34,60,°L,False,652,Muntons,Crystal Malt 60L
640,34,140,°L,False,653,Muntons,Munton Dark Crystal Malt
641,38,2,°L,True,655,Rahr,Red Wheat (US)
