,x_tsne,y_tsne
152,46.62305,47.55547
153,-149.39337,36.01175
154,1.8580079,-148.97215
155,-46.63874,-85.16387
156,-12.527213,-150.64568
157,-60.936737,-68.533165
158,22.973972,-96.98981
159,37.54318,43.72886
160,81.56478,93.95393
161,95.27579,-62.978287
162,-2.53128,6.003228
163,-81.58061,-10.760468
164,-128.9046,-10.610668
165,-30.41251,-98.71083
166,-21.283104,33.118126
167,-60.306824,-37.045834
168,-31.108177,-89.67172
169,-115.26159,95.58968
170,120.856926,-78.87416
171,24.832825,63.732006
172,95.2928,135.82895
173,19.66983,-110.92092
174,17.632648,-25.190351
175,-64.35114,73.745384
176,-93.814316,-71.74739
177,-38.159233,-46.821472
178,-134.21945,91.65193
179,7.146257,-152.314
180,-31.193188,-97.75007
181,84.37022,-98.84372
182,1.8436275,14.48376
183,-99.40264,-23.244406
184,17.055723,-143.82352
185,-1.0928942,134.9608
186,13.679238,-25.392906
187,36.23565,25.508787
188,90.96377,-2.3639686
189,-81.48987,1.1587646
190,24.524801,69.43936
191,-81.002396,96.261665
192,102.70449,102.27149
193,-136.49274,89.2427
194,-150.23848,32.399307
195,-81.5363,43.871193
196,98.92404,-30.658094
197,-18.533014,159.06725
198,-162.80624,-39.01188
199,-60.167557,-37.627876
200,-118.71531,27.4283
201,-61.761215,-20.920553
202,117.18556,-63.705193
203,22.792803,130.10411
204,82.77711,3.8804917
205,-112.8753,54.07819
206,123.34077,-56.170765
207,23.556234,117.63918
208,-14.00805,118.10714
209,90.25897,-79.489204
210,7.725769,-148.16837
211,-159.46616,-45.273876
212,97.919914,3.2920406
213,28.132366,127.63429
214,-24.99266,144.56276
215,4.1294475,29.661373
216,-71.17624,-35.17301
217,14.604907,121.46449
218,-25.948689,-35.09711
219,-2.283842,69.75766
220,30.688145,-81.72894
221,-106.94543,-31.944864
222,-63.42573,74.0153
223,-21.307417,133.20393
224,-65.38686,-54.206947
225,110.78162,-62.82951
226,20.199804,-75.12325
227,26.11727,131.96342
228,-148.54448,-69.98114
229,19.099363,-121.13289
230,-25.815266,23.505966
231,9.523466,17.554111
232,86.55938,-118.16752
233,-3.8171728,-127.64675
234,-69.851364,-15.287253
235,-65.500404,-1.9406638
236,64.602394,10.610972
237,37.03858,-24.134474
238,-152.2044,-19.922157
239,-146.54108,31.509016
240,19.248665,45.889496
241,62.390842,26.988815
242,-18.00605,-26.648373
243,-64.01486,-37.895737
244,-4.8115826,-132.50331
245,-12.046076,-154.51721
246,21.403923,-85.960884
247,81.26573,3.0026646
248,-58.414898,-18.078936
249,50.69217,-2.0410666
250,53.26026,-26.599304
251,96.185265,94.81664
252,-18.197947,77.04786
253,-110.49943,-40.704876
254,-84.24795,9.861794
255,-4.9134364,15.432317
256,55.934628,6.717456
257,32.685207,-4.1693587
258,-4.5422354,-3.6528015
259,-91.718636,-90.527626
260,-117.61509,101.28222
261,53.26028,-26.599316
262,-152.83443,24.312199
263,7.833683,34.503826
264,-41.510098,116.94435
265,-24.266455,-101.31534
266,-133.32454,35.97026
267,21.030836,-148.48125
268,-35.62939,-133.58945
269,26.795765,110.316536
270,-10.565131,-45.87931
271,-73.41694,85.58021
272,22.455845,-148.84973
273,22.843573,123.511566
274,93.44694,-15.013452
275,43.263107,35.26475
276,92.83115,14.33626
277,41.184574,44.817257
278,-12.048557,17.198029
279,-88.14561,33.9142
280,-8.622998,171.82288
281,17.543648,-147.9562
282,103.896515,-18.958757
283,105.54656,-46.225418
284,-36.97674,-45.955006
285,-97.50262,40.537952
286,15.215312,100.8182
287,-149.23158,-38.07766
288,-97.56444,-19.528528
289,-74.33611,4.090209
290,56.700123,5.663851
291,17.515018,115.12745
292,47.785965,102.758705
293,13.557769,13.424986
294,17.84557,-145.40366
295,-55.083363,-170.58463
296,-24.284967,145.40347
297,-11.343325,8.427699
298,-15.448527,10.102302
299,45.884014,61.08151
300,-73.70675,96.09084
301,105.61045,-97.557274
302,128.53262,-33.315372
303,16.348406,-15.938983
304,-95.61787,34.09549
305,87.25202,-18.868567
306,59.99927,65.3469
307,121.00953,45.090313
308,-9.750263,-11.416092
309,-17.875402,118.34182
310,15.934079,73.16673
311,39.57507,-137.47609
312,73.921005,-110.73972
313,-64.8641,21.026337
314,-21.858358,163.60759
315,-104.62795,-63.968338
316,44.938557,-76.276794
317,31.139053,-110.20378
318,87.47813,113.03064
319,-47.703384,-31.103556
320,-118.39278,99.6999
321,9.798803,26.583872
322,93.00284,30.683624
323,126.85,-64.76602
324,-93.10455,43.113876
325,10.28016,-109.28307
326,-0.10485977,135.2039
327,27.745277,-70.7872
328,-148.26335,6.9628544
329,-21.771212,-101.62195
330,44.81576,-55.244957
331,115.00846,-14.643134
332,43.33616,59.43742
333,107.59124,-10.822176
334,-41.58251,10.879932
335,11.086565,30.592659
336,66.27897,-36.883553
337,47.685635,35.57967
338,-11.555208,141.95735
339,33.981327,116.83473
340,-127.18043,96.96271
341,104.79894,-3.1414084
